City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Belmonte,BR,-15.8631,-38.8828,72.28,90,92,1.88,overcast clouds
1,Udachnyy,RU,66.4167,112.4,-8.5,98,100,2.95,overcast clouds
2,Thompson,CA,55.7435,-97.8558,24.96,100,100,0.0,light snow
3,Tuatapere,NZ,-46.1333,167.6833,58.6,52,94,7.76,overcast clouds
4,Cherskiy,RU,68.75,161.3,-38.42,100,32,1.3,scattered clouds
5,Atuona,PF,-9.8,-139.0333,78.51,72,36,17.4,scattered clouds
6,Bluff,NZ,-46.6,168.3333,60.8,59,85,5.53,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,61.81,71,2,8.14,clear sky
8,Salalah,OM,17.0151,54.0924,78.89,47,20,2.3,few clouds
9,Muhos,FI,64.808,25.9931,10.18,96,100,3.74,overcast clouds
10,Hilo,US,19.7297,-155.09,73.13,78,100,8.05,overcast clouds
11,Baruun-Urt,MN,46.6806,113.2792,22.46,53,89,5.39,overcast clouds
12,Khatanga,RU,71.9667,102.5,-37.37,100,35,4.43,scattered clouds
13,Saskylakh,RU,71.9167,114.0833,-38.9,100,54,1.81,broken clouds
14,Mataura,NZ,-46.1927,168.8643,60.48,39,83,4.03,broken clouds
15,Lebu,CL,-37.6167,-73.65,57.13,90,94,11.21,overcast clouds
16,Mumford,GH,5.2618,-0.759,78.4,81,9,2.93,clear sky
17,Wawa,NG,9.9022,4.4192,70.12,32,2,3.02,clear sky
18,East London,ZA,-33.0153,27.9116,67.14,88,0,5.75,clear sky
19,Provideniya,RU,64.3833,-173.3,12.31,62,20,20.13,few clouds
20,Qaanaaq,GL,77.484,-69.3632,11.46,81,56,4.92,broken clouds
21,Ingham,US,42.6,-84.3833,35.55,77,0,0.0,clear sky
22,Zhob,PK,31.3411,69.4481,56.88,21,3,3.24,clear sky
23,Carutapera,BR,-1.195,-46.02,75.99,91,9,5.28,clear sky
24,New Norfolk,AU,-42.7826,147.0587,63.9,29,11,7.0,few clouds
25,Busselton,AU,-33.65,115.3333,76.21,50,28,9.95,scattered clouds
26,Port Elizabeth,ZA,-33.918,25.5701,69.31,91,0,5.75,clear sky
27,Port Alfred,ZA,-33.5906,26.891,71.82,69,3,5.82,clear sky
28,Entre Rios,BR,-11.9419,-38.0844,68.88,97,30,2.13,scattered clouds
29,Hobart,AU,-42.8794,147.3294,65.05,38,0,17.27,clear sky
30,Caluquembe,AO,-13.7833,14.6833,61.83,86,100,2.39,light rain
31,Umm Kaddadah,SD,13.6017,26.6876,67.37,33,5,13.53,clear sky
32,Barrow,US,71.2906,-156.7887,10.42,85,100,16.11,light snow
33,Kavieng,PG,-2.5744,150.7967,85.68,61,32,11.88,scattered clouds
34,Colares,PT,38.7992,-9.4469,65.34,89,97,15.99,overcast clouds
35,Yellowknife,CA,62.456,-114.3525,27.12,100,100,5.75,light snow
36,Jiblah,YE,13.9216,44.1467,58.6,56,0,5.06,clear sky
37,Melbu,NO,68.5044,14.8297,35.42,48,74,10.36,broken clouds
38,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.19,77,48,6.96,scattered clouds
39,Paamiut,GL,61.994,-49.6678,25.5,75,99,6.73,overcast clouds
40,Yulara,AU,-25.2406,130.9889,70.86,33,100,20.96,overcast clouds
41,Ilulissat,GL,69.2167,-51.1,15.82,92,57,4.61,broken clouds
42,Touros,BR,-5.1989,-35.4608,78.85,66,100,14.36,overcast clouds
43,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,19.57,light intensity shower rain
44,Zhigansk,RU,66.7697,123.3711,-27.2,98,100,4.16,overcast clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,73.02,90,100,23.04,overcast clouds
46,Torbay,CA,47.6666,-52.7314,31.57,86,75,25.32,broken clouds
47,Tambo,PE,-14.8,-73.9167,35.47,65,98,1.45,overcast clouds
48,Butaritari,KI,3.0707,172.7902,82.11,72,90,9.42,overcast clouds
49,Avarua,CK,-21.2078,-159.775,75.25,83,75,18.41,broken clouds
50,Paveh,IR,35.0434,46.3565,51.71,35,100,4.54,overcast clouds
51,Kruisfontein,ZA,-34.0033,24.7314,60.89,62,2,5.48,clear sky
52,Rikitea,PF,-23.1203,-134.9692,73.29,86,41,10.87,light rain
53,Waipawa,NZ,-41.4122,175.5153,60.58,54,15,20.07,few clouds
54,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,24.16,scattered clouds
55,Cascavel,BR,-24.9558,-53.4553,62.08,98,55,5.37,broken clouds
56,Coquimbo,CL,-29.9533,-71.3436,58.73,82,100,3.44,overcast clouds
57,Tuburan,PH,6.6439,122.2736,86.09,71,61,5.57,broken clouds
58,Jamestown,US,42.097,-79.2353,38.84,52,0,5.75,clear sky
59,Superior,US,46.7208,-92.1041,27.48,84,0,6.91,clear sky
60,Cairns,AU,-16.9167,145.7667,100.06,49,49,10.36,scattered clouds
61,Porosozero,RU,62.7191,32.727,16.11,86,32,6.64,scattered clouds
62,Terney,RU,45.0503,136.6092,35.11,45,99,3.65,overcast clouds
63,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,21.85,light rain
64,Kununurra,AU,-15.7667,128.7333,91.38,55,75,9.22,broken clouds
65,Ushuaia,AR,-54.8,-68.3,40.66,87,75,29.93,moderate rain
66,Fort Saint James,CA,54.4333,-124.25,19.62,99,83,1.86,broken clouds
67,Port Lincoln,AU,-34.7333,135.8667,63.43,54,91,9.73,overcast clouds
68,San Antonio,US,29.4241,-98.4936,53.11,95,100,4.61,mist
69,Gamba,GA,-2.65,10.0,75.29,91,100,4.07,moderate rain
70,Albany,US,42.6001,-73.9662,35.42,73,20,3.76,few clouds
71,Vaini,TO,-21.2,-175.2,82.56,69,75,6.91,broken clouds
72,Warwick,US,41.7001,-71.4162,43.9,77,0,10.36,clear sky
73,Georgetown,MY,5.4112,100.3354,84.13,90,20,5.99,few clouds
74,Abu Samrah,SY,35.3029,37.1841,54.75,71,0,1.97,clear sky
75,Nagyatad,HU,46.2296,17.3579,38.66,95,100,15.57,light rain
76,Qui Nhon,VN,13.7667,109.2333,80.58,88,100,5.61,overcast clouds
77,Codrington,AU,-38.2667,141.9667,59.72,70,79,15.66,broken clouds
78,Havelock,US,34.8791,-76.9013,55.38,88,20,0.0,few clouds
79,Nikolskoye,RU,59.7035,30.7861,26.49,94,100,7.02,light snow
80,Arroyo,ES,41.6096,-4.7969,57.6,92,100,24.16,mist
81,Ormstown,CA,45.1334,-73.9992,31.96,97,100,3.31,light snow
82,Puerto Suarez,BO,-18.95,-57.8,70.0,87,87,4.18,overcast clouds
83,Mahebourg,MU,-20.4081,57.7,82.26,61,20,3.44,smoke
84,Hasaki,JP,35.7333,140.8333,55.8,85,100,24.16,light rain
85,Komsomolskiy,UZ,40.4272,71.7189,45.32,87,100,2.3,mist
86,Ambulu,ID,-8.345,113.6058,83.3,73,100,4.05,overcast clouds
87,Carnarvon,AU,-24.8667,113.6333,77.5,59,0,13.18,clear sky
88,Ampanihy,MG,-24.7,44.75,76.1,57,0,10.4,clear sky
89,Kapaa,US,22.0752,-159.319,80.58,83,20,13.8,few clouds
90,Ushtobe,KZ,45.2514,77.9838,36.43,88,100,8.34,overcast clouds
91,Bredasdorp,ZA,-34.5322,20.0403,64.87,62,4,6.17,clear sky
92,Mayo,US,38.8876,-76.5119,45.19,66,0,4.61,clear sky
93,Pisco,PE,-13.7,-76.2167,64.45,88,100,2.3,smoke
94,Victoria,HK,22.2855,114.1577,78.85,87,100,8.99,overcast clouds
95,Berlevag,NO,70.8578,29.0864,26.6,86,22,13.8,few clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,55.87,80,0,11.99,clear sky
97,Gorin,RU,51.1983,136.6669,19.33,60,13,7.61,few clouds
98,Nhulunbuy,AU,-12.2333,136.7667,88.41,62,75,6.91,broken clouds
99,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,92,100,13.8,overcast clouds
100,Gorontalo,ID,0.5412,123.0595,85.26,72,93,3.09,overcast clouds
101,Manaure,CO,11.7751,-72.4445,77.22,86,2,8.81,clear sky
102,Lompoc,US,34.6391,-120.4579,58.93,87,0,3.44,clear sky
103,Raudeberg,NO,61.9875,5.1352,43.86,47,100,13.73,overcast clouds
104,Iqaluit,CA,63.7506,-68.5145,-0.31,84,20,5.75,few clouds
105,Lavrentiya,RU,65.5833,-171.0,5.2,90,100,15.23,overcast clouds
106,Dunedin,NZ,-45.8742,170.5036,54.14,84,90,11.14,overcast clouds
107,Cape Town,ZA,-33.9258,18.4232,62.11,87,20,11.5,few clouds
108,Norman Wells,CA,65.282,-126.8329,17.64,93,100,10.36,light snow
109,Mogok,MM,22.9167,96.5,77.47,37,3,2.13,clear sky
110,Kitob,UZ,39.0843,66.8332,63.32,29,84,2.37,broken clouds
111,Maunabo,PR,18.0072,-65.8993,80.44,87,20,14.79,few clouds
112,Yantal,RU,56.8471,105.2542,19.04,74,100,6.98,overcast clouds
113,Vorotynets,RU,56.0603,45.8633,28.71,94,100,14.23,snow
114,Hamburg,DE,53.55,10.0,38.28,96,100,9.22,overcast clouds
115,Adana,TR,36.985,35.2881,55.92,87,20,5.75,few clouds
116,Grindavik,IS,63.8424,-22.4338,37.87,65,0,28.77,clear sky
117,Kodiak,US,57.79,-152.4072,31.51,55,100,10.36,overcast clouds
118,Aykhal,RU,66.0,111.5,-9.72,98,100,3.31,overcast clouds
119,Lieksa,FI,63.3167,30.0167,18.09,89,79,9.71,broken clouds
120,Half Moon Bay,US,37.4636,-122.4286,57.99,79,75,16.11,broken clouds
121,Sobolevo,RU,54.4299,31.8996,20.17,98,89,5.28,overcast clouds
122,Galle,LK,6.0367,80.217,83.07,69,43,12.39,scattered clouds
123,Chapais,CA,49.7834,-74.8492,19.18,95,100,7.09,overcast clouds
124,Davila,PH,18.4726,120.5763,85.98,70,70,6.15,broken clouds
125,Goderich,CA,43.7501,-81.7165,41.92,75,54,9.22,broken clouds
126,Najran,SA,17.4924,44.1277,54.25,38,0,2.64,clear sky
127,Kendari,ID,-3.945,122.4989,85.82,71,100,4.63,overcast clouds
128,Ballina,AU,-28.8667,153.5667,82.02,40,75,14.43,broken clouds
129,Westport,US,41.1415,-73.3579,47.75,62,0,5.01,clear sky
130,Srandakan,ID,-7.9386,110.2506,83.37,70,100,5.75,light rain
131,Castro,BR,-24.7911,-50.0119,59.04,94,100,2.17,overcast clouds
132,Makushino,RU,55.2103,67.2442,4.03,85,8,2.93,clear sky
133,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,59.13,49,0,2.08,clear sky
134,Sembe,CG,1.6481,14.5806,68.86,95,49,0.6,scattered clouds
135,Wilmington,US,34.2257,-77.9447,55.9,74,0,4.61,clear sky
136,Namibe,AO,-15.1961,12.1522,71.62,73,97,3.56,overcast clouds
137,Dikson,RU,73.5069,80.5464,-18.04,94,83,6.38,broken clouds
138,Hervey Bay,AU,-25.2986,152.8535,80.02,66,85,11.01,overcast clouds
139,Inhambane,MZ,-23.865,35.3833,77.0,73,40,14.0,scattered clouds
140,Callaway,US,30.153,-85.5699,60.85,81,20,3.44,few clouds
141,San Quintin,MX,30.4833,-115.95,59.9,64,34,6.89,scattered clouds
142,Boden,SE,65.8252,21.6886,5.0,85,79,3.47,broken clouds
143,San Isidro,PE,-12.1167,-77.05,67.59,80,0,9.22,clear sky
144,Necochea,AR,-38.5473,-58.7368,59.85,44,71,14.36,broken clouds
145,Dolinsk,RU,47.35,142.8,33.37,68,23,9.26,few clouds
146,Margate,GB,51.3813,1.3862,51.22,75,24,16.51,few clouds
147,Kuching,MY,1.55,110.3333,91.62,62,20,5.01,few clouds
148,Ribeira Grande,PT,38.5167,-28.7,60.78,81,100,1.99,overcast clouds
149,Upernavik,GL,72.7868,-56.1549,18.41,82,76,4.63,broken clouds
150,Lasa,IT,46.6166,10.7002,36.48,94,73,6.22,broken clouds
151,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,60,5.17,broken clouds
152,Kenai,US,60.5544,-151.2583,32.14,95,100,14.97,mist
153,Saldanha,ZA,-33.0117,17.9442,61.81,83,0,11.99,clear sky
154,Nome,US,64.5011,-165.4064,21.27,86,100,0.0,overcast clouds
155,Ngunguru,NZ,-35.6167,174.5,68.11,51,5,11.61,clear sky
156,Areka,ET,7.0667,37.7,62.78,52,31,7.0,scattered clouds
157,Tasiilaq,GL,65.6145,-37.6368,35.76,79,100,18.05,overcast clouds
158,Neiafu,TO,-18.65,-173.9833,81.28,83,75,10.36,broken clouds
159,Palmares Do Sul,BR,-30.2578,-50.5097,66.54,91,100,5.59,overcast clouds
160,Mumbwa,ZM,-14.9783,27.0619,69.93,77,99,5.06,overcast clouds
161,Tazmalt,DZ,36.3868,4.3989,57.36,67,91,5.68,overcast clouds
162,Moose Factory,CA,51.2585,-80.6094,8.6,85,0,5.75,clear sky
163,Choma,ZM,-16.8065,26.9531,69.01,71,93,5.06,overcast clouds
164,Kitgum,UG,3.2783,32.8867,67.59,86,90,3.94,light rain
165,Arklow,IE,52.7931,-6.1414,49.08,85,100,30.51,overcast clouds
166,Tiksi,RU,71.6872,128.8694,-23.98,100,98,3.8,overcast clouds
167,Pangkalanbuun,ID,-2.6833,111.6167,94.89,41,84,4.03,light rain
168,Leningradskiy,RU,69.3833,178.4167,-12.15,94,100,6.55,overcast clouds
169,Geraldton,AU,-28.7667,114.6,75.61,53,3,13.8,clear sky
170,Samarskoye,RU,46.9336,39.6814,45.84,74,36,13.73,scattered clouds
171,Dale,US,38.1689,-86.99,43.66,60,0,3.44,clear sky
172,Rawson,AR,-43.3002,-65.1023,68.32,45,71,17.2,broken clouds
173,Narsaq,GL,60.9167,-46.05,43.02,76,100,2.77,overcast clouds
174,Muravlenko,RU,63.7898,74.523,-20.09,97,44,9.46,scattered clouds
175,Kelo,TD,9.3086,15.8066,66.92,20,2,5.79,clear sky
176,Kutum,SD,14.2,24.6667,61.5,37,12,6.31,few clouds
177,Marrakesh,MA,31.6315,-8.0083,53.67,71,0,2.3,clear sky
178,Cabo San Lucas,MX,22.8909,-109.9124,72.52,76,37,8.03,scattered clouds
179,Vanimo,PG,-2.6741,141.3028,84.7,68,79,6.85,broken clouds
180,Nanortalik,GL,60.1432,-45.2371,31.96,87,100,6.53,overcast clouds
181,Ahuimanu,US,21.4447,-157.8378,78.51,70,20,13.8,few clouds
182,Airai,TL,-8.9266,125.4092,69.84,78,90,0.65,overcast clouds
183,Khandagayty,RU,50.7333,92.05,13.12,91,100,0.72,overcast clouds
184,Evensk,RU,61.95,159.2333,13.17,86,100,38.01,light snow
185,General Pico,AR,-35.6566,-63.7568,59.32,39,59,10.04,broken clouds
186,Tessalit,ML,20.1986,1.0114,69.71,18,100,9.98,overcast clouds
187,Las Vegas,US,36.175,-115.1372,53.08,28,0,8.05,clear sky
188,Verkhnyaya Sinyachikha,RU,57.976,61.6673,0.88,95,33,3.91,scattered clouds
189,Alice,US,27.7523,-98.0697,53.17,90,100,8.05,overcast clouds
190,Sistranda,NO,63.7256,8.834,39.16,57,100,33.64,overcast clouds
191,Esperance,AU,-33.8667,121.9,79.68,39,66,7.94,broken clouds
192,Basco,PH,20.4487,121.9702,82.18,76,99,12.24,overcast clouds
193,Luderitz,NA,-26.6481,15.1594,61.32,77,0,5.17,clear sky
194,Aparecida Do Taboado,BR,-20.0867,-51.0936,72.18,87,87,1.07,overcast clouds
195,Deming,US,32.2687,-107.7586,39.09,60,0,5.75,clear sky
196,Tautira,PF,-17.7333,-149.15,76.01,87,100,12.41,light rain
197,Novyy Urengoy,RU,66.0833,76.6333,-16.94,97,90,5.64,overcast clouds
198,Srednekolymsk,RU,67.45,153.6833,-37.7,100,74,5.14,broken clouds
199,Acurenam,GQ,1.0322,10.6488,65.57,98,70,0.56,broken clouds
200,Korla,CN,41.7597,86.1469,41.4,22,39,7.47,scattered clouds
201,Clyde River,CA,70.4692,-68.5914,3.43,78,100,21.85,overcast clouds
202,Avera,US,33.194,-82.5271,53.11,61,100,5.77,overcast clouds
203,Naze,JP,28.3667,129.4833,70.72,91,100,12.24,overcast clouds
204,Redmond,US,47.674,-122.1215,50.11,92,99,3.0,overcast clouds
205,Vilyuysk,RU,63.7553,121.6247,-6.83,95,100,1.54,overcast clouds
206,Truro,GB,50.2653,-5.0544,54.68,76,40,23.02,scattered clouds
207,Cabra,ES,37.4725,-4.4421,56.12,97,98,5.66,overcast clouds
208,Moorhead,US,46.8739,-96.7676,26.56,86,0,11.5,clear sky
209,Souillac,MU,-20.5167,57.5167,80.98,61,20,3.44,smoke
210,Rio Gallegos,AR,-51.6226,-69.2181,53.65,47,0,10.36,clear sky
211,Nago,JP,26.5881,127.9761,73.83,92,100,6.96,light rain
212,Simonesti,RO,46.3333,25.1,34.38,73,100,4.32,overcast clouds
213,Hithadhoo,MV,-0.6,73.0833,80.37,77,58,10.47,broken clouds
214,Talnakh,RU,69.4865,88.3972,-23.8,99,100,0.78,overcast clouds
215,Khorixas,NA,-20.3667,14.9667,69.37,39,28,5.53,scattered clouds
216,Saint-Joseph,RE,-21.3667,55.6167,79.18,68,39,8.81,scattered clouds
217,Mandalgovi,MN,45.7625,106.2708,30.04,53,60,9.48,broken clouds
218,Labuhan,ID,-6.8844,112.2051,88.27,58,100,2.28,overcast clouds
219,Amuntai,ID,-2.4177,115.2494,95.45,45,50,1.68,scattered clouds
220,Cap Malheureux,MU,-19.9842,57.6142,82.47,64,2,5.99,clear sky
221,Pontes E Lacerda,BR,-15.2261,-59.3353,70.54,93,90,2.24,overcast clouds
222,Lanzhou,CN,36.0564,103.7922,50.36,30,73,3.51,broken clouds
223,Campbellsville,US,37.3434,-85.3419,42.91,56,0,3.56,clear sky
224,Caravelas,BR,-17.7125,-39.2481,70.86,90,100,1.16,overcast clouds
225,Tommot,RU,58.9564,126.2925,1.92,91,82,3.04,broken clouds
226,Kolosovka,RU,56.4678,73.611,-6.86,93,21,8.41,few clouds
227,Bam,IR,29.106,58.357,62.64,23,0,0.54,clear sky
228,Caiaponia,BR,-16.9567,-51.8103,67.82,91,100,1.59,overcast clouds
229,Chara,RU,56.9064,118.2631,-2.09,78,70,0.58,broken clouds
230,Deputatskiy,RU,69.3,139.9,-32.22,100,98,1.01,overcast clouds
231,Mehamn,NO,71.0357,27.8492,26.55,93,0,11.5,clear sky
232,Kasongo-Lunda,CD,-6.4667,16.8167,67.75,98,96,0.11,overcast clouds
233,Simpang,ID,-1.2667,104.0833,79.38,87,100,0.27,overcast clouds
234,Coihaique,CL,-45.5752,-72.0662,57.15,72,75,5.75,broken clouds
235,Lagoa,PT,39.05,-27.9833,59.7,67,100,12.08,overcast clouds
236,Agapovka,RU,53.2973,59.1348,6.01,97,93,1.7,overcast clouds
237,Lima,PE,-12.0432,-77.0282,66.45,80,0,9.22,clear sky
238,Saint-Philippe,RE,-21.3585,55.7679,80.19,67,44,9.55,scattered clouds
239,Severo-Kurilsk,RU,50.6789,156.125,33.22,69,78,30.06,light snow
240,Santiago De Cao,PE,-7.9589,-79.2392,62.73,88,2,4.61,mist
241,Juegang,CN,32.3174,121.1855,62.98,68,80,8.39,broken clouds
242,Chicama,PE,-7.8447,-79.1469,61.34,80,4,2.84,clear sky
243,Ancud,CL,-41.8697,-73.8203,55.17,99,100,8.16,light rain
244,Coos Bay,US,43.3665,-124.2179,50.99,99,100,0.0,fog
245,Mbandaka,CD,0.0487,18.2603,69.6,95,67,2.82,broken clouds
246,Asfi,MA,32.2994,-9.2372,61.92,82,29,11.5,scattered clouds
247,Urumqi,CN,43.801,87.6005,29.35,93,75,4.47,fog
248,Umm Lajj,SA,25.0213,37.2685,78.55,56,47,7.81,scattered clouds
249,Kieta,PG,-6.2167,155.6333,85.48,63,37,3.6,scattered clouds
250,Dudinka,RU,69.4058,86.1778,-23.39,98,90,5.39,overcast clouds
251,Hays,US,30.0502,-98.0336,51.93,92,90,1.99,overcast clouds
252,Broome,US,42.2506,-75.833,37.17,74,6,3.0,clear sky
253,Nangwa,TZ,-4.4667,35.45,62.06,76,65,6.8,broken clouds
254,Dolores,AR,-36.3132,-57.6792,53.35,77,40,8.03,scattered clouds
255,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,74,75,6.71,light shower snow
256,Harbour Breton,CA,47.4833,-55.7983,31.6,65,59,18.14,broken clouds
257,Lorengau,PG,-2.0226,147.2712,83.34,74,98,8.03,overcast clouds
258,Methoni,GR,36.8197,21.7049,59.22,67,100,21.63,overcast clouds
259,Solnechnyy,RU,50.7214,136.6319,19.92,62,11,4.47,few clouds
260,Fortuna,US,40.5982,-124.1573,54.99,94,75,3.44,broken clouds
261,Laurinburg,US,34.7741,-79.4628,51.46,82,40,0.0,scattered clouds
262,Turukhansk,RU,65.8167,87.9833,-31.05,96,24,4.23,few clouds
263,Warmbad,NA,-28.45,18.7333,67.39,39,0,7.11,clear sky
264,Dakoro,NE,14.5106,6.765,64.04,20,12,10.33,few clouds
265,Port Augusta,AU,-32.5,137.7667,74.7,33,0,8.86,clear sky
266,Kijini,TZ,-5.85,39.3167,76.73,76,10,7.87,clear sky
267,Manavalakurichi,IN,8.1333,77.3,83.84,54,33,12.73,scattered clouds
268,Lianran,CN,24.9227,102.485,63.14,40,50,7.05,scattered clouds
269,Meulaboh,ID,4.1363,96.1285,83.23,67,37,4.5,scattered clouds
270,Handan,CN,36.6006,114.4678,63.27,35,40,5.28,scattered clouds
271,Bereda,ES,43.2686,-7.5406,54.41,100,100,9.46,overcast clouds
272,Mazatlan,MX,23.2167,-106.4167,72.01,72,36,4.0,scattered clouds
273,Chumikan,RU,54.7183,135.315,12.61,71,20,24.65,few clouds
274,Vao,NC,-22.6667,167.4833,77.49,70,41,6.42,scattered clouds
275,Maiduguri,NG,11.8464,13.1603,65.16,41,3,6.51,clear sky
276,Riyadh,SA,24.6877,46.7219,51.94,21,0,0.67,clear sky
277,Sambava,MG,-14.2667,50.1667,76.82,77,98,7.09,overcast clouds
278,Marigot,MF,18.0667,-63.0833,80.38,78,20,16.11,few clouds
279,Tigil,RU,57.8,158.6667,27.25,79,100,27.25,overcast clouds
280,Pingliang,CN,35.5392,106.6861,47.59,63,100,6.31,overcast clouds
